,time,count
346,54685.978574030465,0.440649
347,54685.97960569713,0.6019768
348,54685.98049515315,0.618695
349,54685.98135915778,0.7049574
350,54685.98205061611,0.763743
351,54685.98300247954,0.5324704
352,54685.98401347491,0.5093264
353,54685.98493519944,0.5532443
354,54685.98587109065,0.5578222
355,54685.9871491462,0.4575377
356,54686.02542158833,0.8646861
357,54686.02601938926,0.8917781
358,54686.02673037306,0.6523142
359,54686.02752566241,0.6698239
360,54686.02815235222,0.6788562
361,54686.0289416925,0.5844587
362,54686.030013081385,0.4458744
363,54686.03129993324,0.5348134
364,54686.63449186611,0.5703801
365,54686.63531747954,0.7881072
366,54686.63604442398,0.6249179
367,54686.63724729435,0.3797026
368,54686.63825428509,0.5465017
369,54686.63908715546,1.010548
370,54686.63994759528,0.4321611
371,54686.64113846333,0.4880456
372,54686.642454898516,0.4569675
373,54686.64360844019,0.5180882
374,54686.644414435556,0.7638372
375,54686.645442560555,0.6138619
376,54686.64627826658,0.4804404
377,54686.64713815083,0.8840627
378,54686.647802838335,0.7315343
379,54686.64871738695,0.4777029
380,54686.649632954075,0.6411805
381,54686.65051135685,0.6982309
382,54686.651432190185,0.4244121
383,54686.65263651889,0.4310119
384,54686.65369719018,0.6561233
385,54686.65453876426,0.4965626
386,54686.655466854536,0.7398355
387,54686.6562770513,0.5833591
388,54686.657014956385,0.7489514
389,54686.70537407676,0.5223048
390,54686.70629842861,0.7253467
391,54686.70707899574,0.8792808
392,54686.70777837074,0.6154665
393,54686.70860833602,0.5392797
394,54686.70952537305,0.7448213
395,54686.71048004898,0.4597219
396,54686.7115408013,0.5359556
397,54686.7126275837,0.4865535
398,54686.71347931981,0.6340037
399,54686.714406507315,0.557132
400,54686.71536126426,0.5400366
401,54686.71652640315,0.442796
402,54686.7174289263,0.6466151
403,54686.71804870639,0.8760015
404,54686.71899019944,0.4739294
405,54686.719940592964,0.5481406
406,54686.72089404204,0.5387942
407,54686.72185881055,0.5288657
408,54686.7228425837,0.4876348
409,54686.723869724905,0.7144448
410,54686.7727072249,0.5794576
411,54686.77357036148,0.6589754
412,54686.77474442398,0.3704629
413,54686.775967954076,0.5569069
414,54686.777019574445,0.4311184
415,54686.77825582444,0.4538309
416,54686.779259910094,0.615656
417,54686.78020885685,0.4403457
418,54686.78134353278,0.6293624
419,54686.7820385675,0.7505286
420,54686.78285257213,0.5863064
421,54686.7837666925,0.641595
422,54686.784744667035,0.4632899
423,54686.78594028046,0.3982932
424,54686.78690519944,0.7154428
425,54686.787799771206,0.4757359
426,54686.78889161148,0.5629893
427,54686.790287930926,0.4757333
428,54686.8342848175,0.3663479
429,54686.83565890315,0.4620346
430,54686.83647290777,0.7458797
431,54686.83741896102,0.4160674
432,54686.838495592965,0.4494639
433,54686.839618590646,0.6996738
434,54686.84030353278,0.8242542
435,54686.84128522259,0.5409144
436,54686.842169505,0.6862006
437,54686.843008185555,0.5297545
438,54686.843826542034,0.6944145
439,54686.84485460917,0.4937142
440,54686.845817305926,0.6067744
441,54686.84672418093,0.5791403
442,54686.847580257316,0.6145239
443,54686.84848568556,0.6148959
444,54686.84935627583,0.5030383
445,54686.850255893885,0.6382078
446,54686.851069910095,0.7141917
447,54686.852171761944,0.4443288
448,54686.85327397259,0.4628807
449,54686.85416487537,0.5655701
450,54686.85533216703,0.3626931
451,54686.85703426194,0.4261826
452,54686.89683426194,0.5427353
453,54686.89764971333,0.7147618
454,54686.89852176194,0.442407
455,54686.899395257315,0.9308182
456,54686.899921970275,0.6722536
457,54686.90078530361,0.7418993
458,54686.901774886945,0.4607105
459,54686.90265805824,0.7788923
460,54686.9033854888,0.5376118
461,54686.90423867167,0.6767367
462,54686.90518181981,0.4647002
463,54686.90604370639,0.8447252
464,54686.90685073185,0.5861456
465,54686.90756869481,0.737506
466,54686.908316484165,0.849907
467,54686.9092010675,0.4836966
468,54686.91023853278,0.5206324
469,54686.91106559296,0.6329059
470,54686.91212406519,0.5833393
471,54686.912867734165,0.6856774
472,54686.913765755,0.667144
473,54686.9143578962,0.7444055
474,54686.91529138,0.3840963
475,54686.916760755,0.4016259
476,54686.91772566241,0.778321
477,54686.91853331287,0.5799187
478,54686.919350778146,0.7112494
479,54686.9199138337,1.172623
480,54686.9209467388,0.4475847
481,54686.921724609165,0.8449963
482,54686.922492190184,0.5740534
