Unnamed: 0,Unnamed: 1,id,radeg,raerr,decdeg,decerr,V,Verr,Vnobs,B,Berr,Bnobs,up,SUerr,SUnobs,gp,SGerr,SGnobs,rp,SRerr,SRnobs,ip,SIerr,SInobs,zs,SZerr,SZnobs,Y,Yerr,Ynobs,u_lco,B_lco,g_lco,V_lco,r_lco,i_lco,z_lco,y_lco,uerr_lco,Berr_lco,gerr_lco,Verr_lco,rerr_lco,ierr_lco,zerr_lco,yerr_lco,teff,norm,teff_err,norm_err,ebv,covar,redchi
21,21,21,225.258706,1.091,10.582707,0.754,17.18,0.172,2,17.901,0.172,2,,,0,17.4,0.071,4,16.89,0.109,3,16.233,0.037,3,,,0,,,0,20.000447598773476,17.888727922685497,17.516034061252917,17.036627376145972,16.592801546559834,16.28495732216649,16.156163392513847,15.840838724347954,0.3724182579606054,0.1936785760309323,0.16896030719428082,0.12503238968821148,0.0822104881469422,0.08196325130668858,0.10196464828808688,0.10196464828808675,,,,,,,
22,22,22,225.259133,0.574,10.309982,0.391,,,0,,,0,,,0,18.412,0.129,2,17.209,0.154,2,15.84,0.085,2,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,225.259383,0.365,10.501224,0.382,13.823,0.045,8,14.731,0.037,8,,,0,14.209,0.019,7,13.56,0.045,7,13.282,0.074,7,13.104,0.174,3,,,0,16.31608141079814,14.585194703918447,14.252939668900037,13.852377905786145,13.527114049367754,13.309847760918952,13.23130474517075,12.915980077004857,0.16400067088541692,0.04372460713159224,0.033497297887935325,0.02617610203417695,0.05003032136650753,0.0702210400859019,0.08334630647945883,0.08334630647945876,,,,,,,
24,24,24,225.263838,0.536,10.607801,0.32,17.009,0.165,8,17.507,0.111,8,,,0,17.169,0.036,6,17.033,0.142,6,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
25,25,25,225.264867,0.934,10.368623,0.214,17.852,0.235,1,17.949,0.182,1,,,0,18.086,0.129,1,17.831,0.235,1,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
26,26,26,225.268563,1.209,10.417104,0.41,17.363,0.133,4,17.84,0.117,4,,,0,17.851,0.066,3,17.308,0.16,3,16.773,0.247,1,,,0,,,0,19.22671758755164,18.03005157671305,17.796820057975474,17.537520648406925,17.36540428980458,17.211272620429078,17.165353778489283,16.850029110323398,0.944280273056698,0.5519701285073348,0.47124941802047443,0.37119638465184857,0.2867339040542355,0.22618326766551541,0.2627210783459337,0.26272107834593345,,,,,,,
27,27,27,225.269637,0.296,10.773914,0.632,18.354,0.361,1,18.296,0.254,1,,,0,17.85,0.101,1,17.329,0.151,1,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
28,28,28,225.272713,0.728,10.559997,0.353,17.236,0.221,6,17.894,0.18,6,,,0,17.532,0.101,7,17.22,0.295,7,16.939,0.277,1,,,0,,,0,18.92346567016547,17.79132476466237,17.5513465452712,17.27048840615857,17.11914883654547,17.003610229255308,16.99302688565661,16.67770221749071,0.07956576220864621,0.024640068145438735,0.02229392953542093,0.03264357116633505,0.05080390771029963,0.06531366586011216,0.07551372924079933,0.07551372924079926,,,,,,,
29,29,29,225.273318,0.215,10.499048,0.197,15.493,0.087,8,16.41,0.067,8,,,0,15.886,0.016,7,15.199,0.05,7,14.894,0.077,7,,,0,,,0,18.00510476416691,16.246450614003223,15.90946665849139,15.502761032377272,15.172330303271345,14.95075566385546,14.868577374889174,14.553252706723281,0.10827858475406728,0.024531914283880813,0.018368176392857045,0.017670033026856966,0.039442844973895,0.054267932546852894,0.06361472117089276,0.06361472117089301,,,,,,,
30,30,30,225.274701,0.254,10.234833,0.43,14.905,0.051,8,15.862,0.073,8,,,0,15.312,0.037,7,14.603,0.053,7,14.309,0.081,7,,,0,,,0,17.537355706146585,15.703667903467448,15.358231575250954,14.93762422249868,14.58010845688646,14.344051684491848,14.25400747666783,13.938682808501937,0.11563953482143763,0.03624610020725471,0.02988107124007395,0.024278998072944223,0.03809936680465438,0.05200764441074721,0.06096994615463625,0.0609699461546364,,,,,,,
31,31,31,225.275424,0.468,10.229754,0.36,16.446,0.074,8,17.149,0.174,8,,,0,16.735,0.063,6,16.233,0.079,6,15.789,0.123,4,,,0,,,0,18.528213803470464,17.074802414954554,16.776616896515137,16.426150266753076,16.175012367933277,16.000897443863195,15.948531639765577,15.63320697159969,0.2582214857003417,0.07972128538206401,0.06135187974821651,0.048489801502511795,0.07082872433511586,0.09700136439966307,0.11586222986775331,0.11586222986775302,,,,,,,
32,32,32,225.275609,0.894,10.334013,0.467,17.153,0.119,7,17.765,0.174,7,,,0,17.438,0.056,6,16.903,0.085,6,16.587,0.209,1,,,0,,,0,19.09979113931908,17.73837147654482,17.454827061522202,17.121343950147335,16.90373791598872,16.74520097602594,16.705175305589428,16.389850637423542,0.12984605382069597,0.039385818114221614,0.028432402237387754,0.023674288694877837,0.03778733430288007,0.0517153261834109,0.06179372466107831,0.06179372466107838,,,,,,,
33,33,33,225.275852,0.218,10.472461,0.122,15.127,0.066,8,15.948,0.086,8,,,0,15.466,0.033,7,14.907,0.055,7,14.6,0.101,7,,,0,,,0,17.310183121659882,15.802607229469473,15.495306501866231,15.137187270018586,14.882477336281497,14.700933364640388,14.64393354909296,14.32860888092707,0.18080608878713328,0.06077271894930762,0.04624213309294949,0.028946639633845708,0.02829618433403389,0.04323169611843413,0.054901001655961214,0.05490100165596109,,,,,,,
34,34,34,225.277264,0.214,10.268595,0.191,15.403,0.021,8,16.091,0.043,8,,,0,15.621,0.041,7,15.221,0.055,7,15.033,0.081,7,,,0,,,0,17.238240487227067,15.984085021271284,15.718123490611575,15.411916382749368,15.230112059739916,15.089529765659151,15.062929864607174,14.747605196441292,0.2038885529609171,0.08188131840503585,0.0597959170250873,0.035613466770283035,0.02697790650893732,0.04256252689622169,0.05652622709227951,0.056526227092279176,,,,,,,
35,35,35,225.277407,0.426,10.118149,0.293,16.537,0.107,8,17.247,0.088,8,,,0,16.806,0.048,7,16.248,0.11,7,16.055,0.199,5,,,0,,,0,18.561432791373385,17.134227670757255,16.8378590285881,16.489528936030496,16.257023137395173,16.08811292971229,16.04073736030535,15.725412692139464,0.1035806504966322,0.02251543247874004,0.02151130463127908,0.03109228010479933,0.05261294977459521,0.06683648393890844,0.07660285786769172,0.07660285786769157,,,,,,,
36,36,36,225.280127,0.19,10.775926,0.345,14.552,0.048,8,15.221,0.05,8,,,0,14.793,0.023,7,14.388,0.046,7,14.201,0.073,7,,,0,,,0,16.24773426362939,15.071845262486157,14.821111328009522,14.530755337509355,14.368762623838801,14.245832208690572,14.229038949437701,13.913714281271815,0.09158853388388927,0.027442391103079684,0.02217229735941636,0.029831140616062353,0.04781892338765903,0.06220562114387246,0.07240096210286397,0.07240096210286366,,,,,,,
37,37,37,225.280804,0.512,10.422963,0.412,16.937,0.108,7,17.784,0.123,7,,,0,17.271,0.044,6,16.664,0.104,6,16.264,0.166,5,,,0,,,0,19.314139687158686,17.63954723049011,17.313887694810433,16.921475726959237,16.612782585678914,16.404029515658486,16.33089582683359,16.015571158667704,0.1718466658005794,0.043588233021262364,0.03461918448098372,0.03311258051400255,0.061521731055768275,0.08286450988250019,0.09693553553590346,0.09693553553590396,,,,,,,
38,38,38,225.283276,0.328,10.439694,0.268,13.885,0.034,8,14.55,0.034,8,,,0,14.118,0.028,7,13.715,0.038,7,13.544,0.069,7,,,0,,,0,15.625297242999778,14.423397450478681,14.168656560293325,13.872951560884243,13.704028273243768,13.576313715219232,13.556837402638454,13.241512734472568,0.08778982370315924,0.026750236278914204,0.023494162062319916,0.03131091460847945,0.048253894181377835,0.061528237188456694,0.0709737097260964,0.07097370972609636,,,,,,,
39,39,39,225.284943,0.56,10.599968,0.376,16.78,0.091,8,17.516,0.103,8,,,0,17.1,0.074,7,16.61,0.069,7,16.455,0.238,4,,,0,,,0,18.70106177807537,17.403217638950792,17.129448078096708,16.80897804195203,16.61109063859849,16.46424815202628,16.43227272339891,16.116948055233017,0.05875018232397795,0.01932687751104405,0.014232983696093536,0.012548525563579912,0.018970166844754745,0.025380857883643155,0.030074791369379242,0.03007479136937937,,,,,,,
40,40,40,225.286813,0.47,10.772813,0.49,17.139,0.135,5,17.8,0.233,5,,,0,17.374,0.101,5,17.024,0.153,5,16.441,0.178,1,,,0,,,0,19.030589628923693,17.71932297410298,17.44959281567496,17.131528744915535,16.913380907084402,16.750805610027058,16.712860313642018,16.39753564547614,0.4554638217451071,0.176024464109773,0.13907775478328446,0.10069114910567292,0.10217541532299364,0.1391719747863897,0.1701798945640729,0.17017989456407295,,,,,,,
41,41,41,225.28808,0.37,10.318052,0.263,14.736,0.04,8,15.668,0.072,8,,,0,15.121,0.035,7,14.453,0.044,7,14.187,0.066,7,,,0,,,0,17.251651744893053,15.502840330536046,15.166654237096566,14.763562170301256,14.43549620855401,14.214129764189956,14.132954477852262,13.817629809686373,0.1261615775424451,0.03956252277974913,0.03170272968506422,0.022482138418317192,0.03128301226425267,0.044347069133027744,0.05324318690787373,0.05324318690787392,,,,,,,
42,42,42,225.288106,0.6,10.149679,0.378,16.979,0.136,8,17.328,0.148,8,,,0,17.103,0.057,7,16.875,0.166,7,16.674,0.187,2,,,0,,,0,18.239731083672936,17.27860892305568,17.111471635437688,16.917013816797116,16.85074051694898,16.8077016253037,16.84555762418782,16.530232956021926,0.08139999019256242,0.049406442104651595,0.03306776151437568,0.033564155809833185,0.05767923474342956,0.0834030453308777,0.10293492265878458,0.10293492265878434,,,,,,,
43,43,43,225.289029,0.367,10.268659,0.429,14.646,0.04,8,15.497,0.045,8,,,0,14.973,0.038,7,14.402,0.051,7,14.14,0.066,7,,,0,,,0,16.99248788577338,15.370277871095073,15.049626969858373,14.66727992885739,14.375674138255174,14.17593793855298,14.107078027937241,13.791753359771356,0.15177360895201317,0.04445351071693467,0.03503809114863105,0.02766265111369709,0.042921010933100225,0.0587659744507009,0.06976627193111787,0.06976627193111826,,,,,,,
44,44,44,225.29065,0.207,10.306807,0.162,15.586,0.052,8,16.192,0.075,8,,,0,15.809,0.049,7,15.424,0.042,7,15.28,0.036,7,,,0,,,0,17.242737142942957,16.09498875828904,15.851821049986029,15.570272360545857,15.416526618353679,15.301427989780425,15.289674670194977,14.974350002029084,0.06283226754639311,0.028039509717970642,0.02096860801245991,0.016156965482239674,0.019255464982219847,0.02558598127517027,0.030781457919641812,0.030781457919641837,,,,,,,
45,45,45,225.292732,0.578,10.617259,0.198,16.558,0.127,4,18.224,0.275,4,,,0,17.181,0.088,7,15.94,0.084,7,14.62,0.091,7,,,0,,,0,19.75407494799685,17.84866850907902,17.261350303499384,16.57901782555991,15.960951974762295,14.5883737578771,13.951392745892257,13.636068077726367,0.04277056644131288,0.04878450451877383,0.04302758490948959,0.041867376345264454,0.04093371934383798,0.08033223228546718,0.10914231409108645,0.1091423140910866,,,,,,,
46,46,46,225.295244,0.778,10.384526,0.555,16.9,0.109,5,18.028,0.072,5,,,0,17.347,0.105,7,16.442,0.121,7,16.025,0.17,5,,,0,,,0,20.288057188586727,17.923894826148015,17.51040058657029,16.95991056852114,16.410321737396004,16.00125396853931,15.826210364292315,15.510885696126422,0.11316784062149635,0.06422632983172973,0.05042892958367845,0.040414469094651115,0.05365532672986531,0.10355204449639384,0.13136712818251148,0.13136712818251156,,,,,,,
47,47,47,225.296532,0.578,10.256981,0.469,17.357,0.218,1,18.207,0.292,1,,,0,17.761,0.048,4,17.157,0.159,4,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
48,48,48,225.297074,0.388,10.591795,0.298,,,0,,,0,,,0,18.197,0.157,4,16.715,0.128,4,16.029,0.122,3,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
49,49,49,225.301186,0.33,10.605902,0.258,13.686,0.039,8,14.313,0.044,8,,,0,13.898,0.034,7,13.524,0.035,7,13.359,0.062,7,13.145,0.116,2,,,0,15.340161118942564,14.198679585282097,13.955380068838387,13.674795110375545,13.521552100600122,13.405215233386876,13.392810252398327,13.077485584232441,0.08089986485400638,0.02950420693439468,0.022952778265271923,0.025708527752933363,0.03885819413710423,0.050836884901102275,0.05951934031257124,0.05951934031257134,,,,,,,
50,50,50,225.301408,0.689,10.597272,0.464,16.703,0.1,8,17.223,0.099,8,,,0,16.931,0.068,7,16.534,0.082,6,16.335,0.161,5,,,0,,,0,18.25260094193326,17.16321521291102,16.93619797788803,16.67495288095494,16.54065142578378,16.43755865475095,16.435512560007297,16.120187891841397,0.10393739818052668,0.04827496161155514,0.0341012502780162,0.021453400580610196,0.023765830337961206,0.03506231573264569,0.04438504525541629,0.04438504525541631,,,,,,,
